Tamanho da Janela:20
[R, M, H, H, M, M, M] 27/4/2000 - 24/5/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/12/2000 - 11/1/2001 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[R, M, H, M, M, H, H] 31/1/2002 - 28/2/2002 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 6/4/2005 - 3/5/2005 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 13/7/2006 - 9/8/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 6/10/2006 - 2/11/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 9/7/2008 - 5/8/2008 8.660254037844387 BearFlag
[R, M, H, H, R, H, C] 26/3/2009 - 23/4/2009 8.660254037844387 DoubleBottom
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 16/9/2009 - 13/10/2009 8.660254037844387 BullFlag
[R, M, H, M, M, M, H] 14/10/2009 - 10/11/2009 8.660254037844387 BearFlag
[R, M, M, H, M, H, M] 30/3/2012 - 27/4/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/6/2012 - 24/7/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
