Tamanho da Janela:20
[M, H, H, H, H, H, M] 27/4/2000 - 24/5/2000 8.660254037844387 BearFlag
[M, M, M, H, H, C, H] 21/8/2000 - 18/9/2000 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 13/12/2002 - 13/1/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/11/2004 - 8/12/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/6/2005 - 29/6/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 4/1/2007 - 1/2/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 27/6/2007 - 25/7/2007 8.660254037844387 BearFlag
[W, R, H, M, R, M, H] 2/10/2008 - 29/10/2008 7.0710678118654755 DoubleBottom
[M, M, M, H, H, H, M] 11/11/2009 - 9/12/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 11/8/2011 - 8/9/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
