Tamanho da Janela:20
[R, R, H, M, R, M, H] 19/9/2000 - 16/10/2000 8.660254037844387 DoubleBottom
[M, H, H, H, H, H, M] 6/7/2001 - 2/8/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 31/8/2001 - 4/10/2001 8.660254037844387 Cup
[R, M, M, M, M, H, H] 1/3/2002 - 28/3/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 24/7/2002 - 20/8/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 12/2/2003 - 12/3/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/11/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/5/2004 - 18/6/2004 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 15/9/2004 - 12/10/2004 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/5/2007 - 29/5/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 21/9/2007 - 18/10/2007 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 14/3/2008 - 11/4/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 4/1/2012 - 1/2/2012 8.660254037844387 Cup
[R, R, M, R, R, M, H] 29/5/2012 - 25/6/2012 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 Cup
[R, M, M, H, H, H, M] 1/11/2013 - 29/11/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 31/12/2013 - 29/1/2014 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 18/9/2014 - 15/10/2014 8.660254037844387 BullFlag
