Tamanho da Janela:60
[R, R, M, H, H, H, R] 28/5/2002 - 20/8/2002 7.0710678118654755 Cup
[R, R, H, C, C, C, M] 21/8/2002 - 13/11/2002 8.660254037844387 Cup
[R, M, H, H, R, H, C] 29/10/2003 - 26/1/2004 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, H] 14/6/2006 - 7/9/2006 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 14/2/2008 - 9/5/2008 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 21/7/2009 - 13/10/2009 8.660254037844387 BullFlag
[R, H, H, H, M, M, H] 14/10/2009 - 8/1/2010 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 5/12/2011 - 1/3/2012 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 14/5/2013 - 7/8/2013 7.0710678118654755 BearFlag
[R, R, M, R, R, M, H] 30/1/2014 - 25/4/2014 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 28/4/2014 - 22/7/2014 8.660254037844387 BearFlag
