Tamanho da Janela:40
[R, M, H, C, H, C, H] 1/3/2000 - 26/4/2000 7.0710678118654755 BearFlag
[R, M, H, C, H, H, M] 17/10/2000 - 12/12/2000 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 31/1/2002 - 28/3/2002 8.660254037844387 BearFlag
[R, M, M, C, H, H, M] 19/9/2002 - 13/11/2002 8.660254037844387 Cup
[M, M, H, H, M, H, H] 8/7/2003 - 2/9/2003 7.0710678118654755 BearFlag
[M, H, H, H, H, H, M] 26/12/2003 - 24/2/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/9/2005 - 18/11/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/1/2006 - 17/3/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/11/2006 - 3/1/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 17/12/2007 - 13/2/2008 8.660254037844387 BullFlag
[R, R, H, R, R, H, C] 2/10/2008 - 26/11/2008 7.0710678118654755 DoubleBottom
[R, R, R, R, M, H, H] 11/1/2010 - 9/3/2010 7.0710678118654755 BullFlag
[M, M, M, H, H, H, M] 6/9/2013 - 31/10/2013 8.660254037844387 BearFlag
