Tamanho da Janela:20
[M, R, R, H, C, H, R] 21/8/2000 - 18/9/2000 8.660254037844387 Cup
[M, R, R, H, C, H, R] 13/12/2000 - 11/1/2001 8.660254037844387 Cup
[M, H, H, H, M, H, H] 6/7/2001 - 2/8/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 21/8/2002 - 18/9/2002 8.660254037844387 Cup
[M, M, H, H, M, M, H] 10/4/2003 - 8/5/2003 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 9/5/2003 - 6/6/2003 8.660254037844387 BullFlag
[M, M, H, H, H, H, M] 27/1/2004 - 24/2/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[R, R, M, R, R, M, C] 2/10/2008 - 29/10/2008 7.0710678118654755 BullFlag
[R, H, H, H, M, H, H] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
