Tamanho da Janela:20
[R, H, H, H, M, M, H] 13/12/2000 - 11/1/2001 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[R, R, M, H, H, H, H] 31/8/2001 - 4/10/2001 7.0710678118654755 BearFlag
[R, R, M, R, R, M, H] 31/1/2002 - 28/2/2002 8.660254037844387 BullFlag
[R, M, H, H, M, M, M] 21/8/2002 - 18/9/2002 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 19/9/2002 - 16/10/2002 8.660254037844387 Cup
[R, R, M, H, H, H, M] 8/7/2003 - 4/8/2003 8.660254037844387 Cup
[M, M, M, H, H, H, M] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, R, M, R, R, M, C] 30/10/2008 - 26/11/2008 7.0710678118654755 BullFlag
[R, M, M, H, H, H, M] 26/3/2009 - 23/4/2009 7.0710678118654755 BearFlag
[M, M, H, M, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/2/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 18/12/2012 - 16/1/2013 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
