Tamanho da Janela:60
[W, R, H, H, R, M, H] 28/5/2002 - 20/8/2002 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 20/7/2004 - 12/10/2004 8.660254037844387 Cup
[M, M, M, H, H, H, M] 6/4/2005 - 29/6/2005 8.660254037844387 BearFlag
[R, H, H, H, M, M, H] 20/12/2005 - 17/3/2006 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 16/11/2007 - 13/2/2008 8.660254037844387 BullFlag
[W, R, C, M, R, M, C] 30/10/2008 - 27/1/2009 7.0710678118654755 DoubleBottom
[R, M, M, M, M, H, H] 11/1/2010 - 7/4/2010 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 28/9/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 21/3/2011 - 14/6/2011 8.660254037844387 BearFlag
[R, R, M, C, C, C, M] 5/12/2011 - 1/3/2012 7.0710678118654755 Cup
[M, H, H, H, H, H, M] 19/11/2012 - 14/2/2013 8.660254037844387 BearFlag
