Tamanho da Janela:20
[R, R, M, H, H, M, R] 1/2/2000 - 29/2/2000 8.660254037844387 Cup
[R, R, M, H, H, H, M] 27/4/2000 - 24/5/2000 8.660254037844387 Cup
[R, R, M, H, H, H, M] 14/11/2000 - 12/12/2000 8.660254037844387 Cup
[R, M, H, H, M, M, M] 7/6/2001 - 5/7/2001 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 29/4/2002 - 24/5/2002 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/3/2006 - 17/4/2006 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 13/7/2006 - 9/8/2006 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 12/5/2008 - 9/6/2008 8.660254037844387 Cup
[M, M, M, M, H, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
