Tamanho da Janela:20
[R, M, H, M, R, H, C] 3/1/2000 - 31/1/2000 7.0710678118654755 DoubleBottom
[R, M, H, H, H, M, M] 1/3/2000 - 28/3/2000 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 27/4/2000 - 24/5/2000 8.660254037844387 Cup
[R, M, H, M, R, H, H] 3/8/2001 - 30/8/2001 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 31/1/2002 - 28/2/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 1/10/2003 - 28/10/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[M, M, M, H, H, C, H] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 30/6/2005 - 28/7/2005 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 26/9/2005 - 21/10/2005 8.660254037844387 Cup
[M, M, M, H, H, H, M] 2/2/2007 - 2/3/2007 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 10/6/2008 - 8/7/2008 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 2/10/2008 - 29/10/2008 8.660254037844387 BullFlag
[M, R, R, W, R, H, H] 30/10/2008 - 26/11/2008 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 16/9/2009 - 13/10/2009 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 11/11/2009 - 9/12/2009 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 10/3/2010 - 7/4/2010 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 18/2/2011 - 18/3/2011 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 21/3/2011 - 15/4/2011 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 17/1/2013 - 14/2/2013 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 4/10/2013 - 31/10/2013 7.0710678118654755 BearFlag
[R, M, M, M, M, H, H] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
