Tamanho da Janela:60
[M, R, R, R, M, H, H] 29/10/2003 - 26/1/2004 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 27/1/2004 - 21/4/2004 8.660254037844387 BullFlag
[R, R, R, H, C, H, R] 22/4/2004 - 19/7/2004 7.0710678118654755 Cup
[R, R, M, C, C, C, M] 6/4/2005 - 29/6/2005 7.0710678118654755 Cup
[R, R, M, C, C, C, M] 20/12/2005 - 17/3/2006 7.0710678118654755 Cup
[R, M, H, C, H, H, M] 28/1/2009 - 23/4/2009 7.0710678118654755 BearFlag
[R, H, C, H, M, H, H] 24/4/2009 - 20/7/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/7/2009 - 13/10/2009 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 14/10/2009 - 8/1/2010 8.660254037844387 BullFlag
[R, H, C, H, M, H, H] 11/1/2010 - 7/4/2010 8.660254037844387 BearFlag
[R, H, H, C, H, H, M] 28/9/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, M, H, H, H, C, H] 5/12/2011 - 1/3/2012 5.0 BearFlag
[R, M, M, H, H, H, M] 14/5/2013 - 7/8/2013 7.0710678118654755 BearFlag
