Tamanho da Janela:20
[M, H, H, H, M, H, H] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 3/8/2001 - 30/8/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 8/3/2005 - 5/4/2005 8.660254037844387 Cup
[M, M, M, M, H, H, H] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 16/5/2006 - 13/6/2006 8.660254037844387 Cup
[M, M, H, M, M, H, H] 3/11/2006 - 1/12/2006 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 4/1/2007 - 1/2/2007 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 21/9/2007 - 18/10/2007 7.0710678118654755 BearFlag
[M, R, R, R, R, M, H] 16/11/2007 - 14/12/2007 8.660254037844387 BullFlag
[M, R, R, R, R, M, H] 2/8/2010 - 27/8/2010 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 26/10/2010 - 22/11/2010 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 Cup
[R, R, M, H, H, H, M] 4/1/2012 - 1/2/2012 8.660254037844387 Cup
[R, M, H, M, M, M, H] 30/4/2012 - 25/5/2012 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 17/1/2013 - 14/2/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 1/11/2013 - 29/11/2013 8.660254037844387 BearFlag
