Tamanho da Janela:20
[R, M, H, C, H, H, M] 17/10/2000 - 13/11/2000 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 2/1/2002 - 30/1/2002 8.660254037844387 BullFlag
[R, M, M, H, H, H, M] 31/1/2002 - 28/2/2002 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 10/4/2003 - 8/5/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/5/2003 - 6/6/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/4/2006 - 15/5/2006 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 16/1/2008 - 13/2/2008 7.0710678118654755 BearFlag
[M, M, H, H, H, M, M] 14/3/2008 - 11/4/2008 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 16/9/2009 - 13/10/2009 8.660254037844387 DoubleBottom
[M, M, H, H, M, H, H] 9/2/2010 - 9/3/2010 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 Cup
[R, M, H, M, M, M, H] 2/3/2012 - 29/3/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 BearFlag
