Tamanho da Janela:20
[R, R, M, H, H, M, R] 12/2/2001 - 12/3/2001 8.660254037844387 Cup
[M, R, R, R, M, H, H] 9/5/2001 - 6/6/2001 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 2/1/2002 - 30/1/2002 8.660254037844387 Cup
[M, H, H, H, M, H, H] 19/9/2002 - 16/10/2002 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/3/2008 - 11/4/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/4/2008 - 9/5/2008 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 28/11/2008 - 26/12/2008 8.660254037844387 Cup
[M, M, M, H, H, H, M] 16/9/2009 - 13/10/2009 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
