Tamanho da Janela:20
[R, M, H, C, H, M, M] 1/3/2000 - 28/3/2000 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 27/4/2000 - 24/5/2000 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 25/5/2000 - 22/6/2000 8.660254037844387 BearFlag
[R, H, H, H, H, M, M] 24/7/2000 - 18/8/2000 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 7/6/2001 - 5/7/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 2/11/2001 - 30/11/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/3/2003 - 9/4/2003 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 8/7/2003 - 4/8/2003 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 29/10/2003 - 25/11/2003 8.660254037844387 Cup
[M, M, M, H, H, H, M] 21/6/2004 - 19/7/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 6/4/2005 - 3/5/2005 8.660254037844387 BullFlag
[R, M, H, H, M, M, H] 24/10/2005 - 18/11/2005 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 26/7/2007 - 22/8/2007 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 19/10/2007 - 15/11/2007 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 14/3/2008 - 11/4/2008 8.660254037844387 Cup
[R, R, R, C, C, C, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 16/4/2013 - 13/5/2013 8.660254037844387 Cup
[M, M, M, H, H, H, M] 28/2/2014 - 27/3/2014 8.660254037844387 BearFlag
