Tamanho da Janela:20
[R, M, H, M, M, H, H] 1/3/2000 - 28/3/2000 7.0710678118654755 BearFlag
[M, R, R, R, M, C, C] 21/8/2000 - 18/9/2000 8.660254037844387 BullFlag
[R, M, H, C, H, M, M] 13/12/2000 - 11/1/2001 8.660254037844387 BearFlag
[R, M, H, C, C, C, H] 1/4/2002 - 26/4/2002 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 10/4/2003 - 8/5/2003 7.0710678118654755 BearFlag
[R, M, H, H, M, H, M] 8/7/2003 - 4/8/2003 7.0710678118654755 BearFlag
[R, M, H, H, M, M, M] 3/9/2003 - 30/9/2003 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 24/10/2005 - 18/11/2005 8.660254037844387 BearFlag
[R, M, M, H, H, H, R] 20/12/2005 - 19/1/2006 8.660254037844387 Cup
[M, M, H, H, H, H, M] 16/11/2007 - 14/12/2007 7.0710678118654755 BearFlag
[R, R, M, H, H, M, R] 11/1/2010 - 8/2/2010 8.660254037844387 Cup
[R, R, M, R, R, M, H] 28/9/2010 - 25/10/2010 8.660254037844387 BullFlag
[M, M, H, C, H, H, M] 26/10/2010 - 22/11/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 29/5/2012 - 25/6/2012 8.660254037844387 Cup
