Tamanho da Janela:20
[R, R, H, C, H, H, R] 1/3/2000 - 28/3/2000 7.0710678118654755 Cup
[M, M, M, H, H, H, M] 21/8/2000 - 18/9/2000 8.660254037844387 BearFlag
[M, M, M, M, H, H, H] 14/11/2000 - 12/12/2000 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 31/8/2001 - 4/10/2001 8.660254037844387 DoubleBottom
[R, M, M, H, H, M, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, R, M, H, H, C, H] 26/2/2009 - 25/3/2009 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 22/6/2009 - 20/7/2009 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, H, H, M, H, M] 30/8/2010 - 27/9/2010 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 15/6/2011 - 13/7/2011 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 30/4/2012 - 25/5/2012 8.660254037844387 BullFlag
[R, M, H, H, H, M, M] 26/6/2012 - 24/7/2012 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 16/10/2014 - 12/11/2014 8.660254037844387 BearFlag
