Tamanho da Janela:40
[R, R, M, H, H, H, R] 7/6/2001 - 2/8/2001 7.0710678118654755 Cup
[R, R, R, R, R, M, H] 3/8/2001 - 4/10/2001 7.0710678118654755 BullFlag
[M, H, H, H, M, H, H] 8/7/2003 - 2/9/2003 8.660254037844387 BearFlag
[R, R, M, H, H, H, H] 3/9/2003 - 28/10/2003 7.0710678118654755 BearFlag
[M, M, H, H, H, M, M] 25/2/2004 - 21/4/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 22/4/2004 - 18/6/2004 8.660254037844387 Cup
[M, M, M, H, H, H, M] 3/11/2006 - 3/1/2007 8.660254037844387 BearFlag
[R, R, M, R, R, H, C] 28/1/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[M, M, H, C, H, H, M] 30/8/2010 - 25/10/2010 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 22/12/2010 - 17/2/2011 8.660254037844387 Cup
[M, M, M, H, H, H, M] 17/1/2013 - 15/3/2013 8.660254037844387 BearFlag
