Tamanho da Janela:20
[R, R, M, H, H, H, M] 24/7/2000 - 18/8/2000 8.660254037844387 Cup
[R, M, M, H, H, H, M] 12/1/2001 - 9/2/2001 7.0710678118654755 BearFlag
[R, M, M, M, M, H, H] 13/3/2001 - 9/4/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 3/8/2001 - 30/8/2001 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/10/2001 - 1/11/2001 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 8/3/2005 - 5/4/2005 8.660254037844387 Cup
[M, M, M, M, H, H, H] 20/12/2005 - 19/1/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/6/2006 - 12/7/2006 8.660254037844387 BearFlag
[R, R, M, C, C, C, R] 28/11/2008 - 26/12/2008 5.0 Cup
[R, R, M, H, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[R, H, H, H, M, M, H] 26/3/2009 - 23/4/2009 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/11/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, R, R, W, R, H, H] 9/9/2011 - 6/10/2011 8.660254037844387 BullFlag
[M, R, R, R, R, M, H] 4/11/2011 - 2/12/2011 8.660254037844387 BullFlag
[R, M, H, H, H, H, M] 29/5/2012 - 25/6/2012 5.0 BearFlag
[M, H, H, H, H, H, M] 25/7/2012 - 21/8/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 1/11/2013 - 29/11/2013 7.0710678118654755 BearFlag
