Tamanho da Janela:40
[M, H, H, H, H, H, M] 1/3/2000 - 26/4/2000 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 23/6/2000 - 18/8/2000 7.0710678118654755 BearFlag
[M, M, H, H, M, H, H] 17/10/2000 - 12/12/2000 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 3/12/2001 - 30/1/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 3/9/2003 - 28/10/2003 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 26/9/2005 - 18/11/2005 8.660254037844387 BullFlag
[M, M, H, H, M, H, H] 16/5/2006 - 12/7/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 8/9/2006 - 2/11/2006 8.660254037844387 BearFlag
[R, M, H, H, H, M, M] 23/8/2007 - 18/10/2007 7.0710678118654755 BearFlag
[R, R, M, M, H, H, H] 11/1/2010 - 9/3/2010 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 5/12/2011 - 1/2/2012 7.0710678118654755 BearFlag
