Tamanho da Janela:20
[R, R, M, C, C, M, W] 3/1/2000 - 31/1/2000 7.0710678118654755 Cup
[W, R, H, M, R, M, H] 24/7/2000 - 18/8/2000 7.0710678118654755 DoubleBottom
[W, W, H, R, R, C, C] 14/11/2000 - 12/12/2000 8.660254037844387 DoubleBottom
[W, W, H, R, W, H, C] 13/12/2000 - 11/1/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 2/1/2002 - 30/1/2002 8.660254037844387 Cup
[M, H, H, H, M, H, H] 5/8/2003 - 2/9/2003 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 27/1/2004 - 24/2/2004 8.660254037844387 Cup
[M, H, H, H, M, H, H] 7/2/2005 - 7/3/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 8/3/2005 - 5/4/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 20/1/2006 - 16/2/2006 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 6/8/2008 - 3/9/2008 8.660254037844387 BearFlag
[M, R, R, W, R, H, C] 30/10/2008 - 26/11/2008 7.0710678118654755 BullFlag
[M, M, M, H, H, H, M] 18/8/2009 - 15/9/2009 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 29/5/2012 - 25/6/2012 7.0710678118654755 BearFlag
