Tamanho da Janela:20
[R, R, H, M, M, C, C] 24/7/2000 - 18/8/2000 8.660254037844387 DoubleBottom
[R, M, H, H, R, H, C] 13/3/2001 - 9/4/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 6/7/2001 - 2/8/2001 8.660254037844387 Cup
[R, R, H, C, H, H, R] 29/4/2002 - 24/5/2002 7.0710678118654755 Cup
[R, M, H, C, H, H, R] 10/4/2003 - 8/5/2003 8.660254037844387 Cup
[R, R, M, R, R, M, H] 20/7/2004 - 16/8/2004 8.660254037844387 BullFlag
[M, R, R, H, C, H, R] 15/9/2004 - 12/10/2004 8.660254037844387 Cup
[R, M, H, H, M, H, H] 24/10/2005 - 18/11/2005 5.0 BearFlag
[R, M, H, H, M, M, M] 21/11/2005 - 19/12/2005 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 20/3/2006 - 17/4/2006 8.660254037844387 BullFlag
[R, R, M, H, H, H, H] 8/9/2006 - 5/10/2006 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 23/8/2007 - 20/9/2007 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 16/11/2007 - 14/12/2007 8.660254037844387 BearFlag
[M, M, H, C, H, H, M] 12/5/2008 - 9/6/2008 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 28/11/2008 - 26/12/2008 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 26/2/2009 - 25/3/2009 8.660254037844387 Cup
[M, H, H, H, M, H, H] 22/5/2009 - 19/6/2009 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 22/12/2010 - 20/1/2011 8.660254037844387 BearFlag
[R, M, H, M, M, M, H] 2/2/2012 - 1/3/2012 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 30/3/2012 - 27/4/2012 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 2/12/2013 - 30/12/2013 8.660254037844387 Cup
[R, M, H, H, M, M, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 23/7/2014 - 19/8/2014 8.660254037844387 BullFlag
