Tamanho da Janela:20
[R, H, H, C, H, H, M] 24/7/2000 - 18/8/2000 8.660254037844387 BearFlag
[R, R, M, H, H, M, R] 17/10/2000 - 13/11/2000 8.660254037844387 Cup
[R, R, M, C, C, C, R] 6/7/2001 - 2/8/2001 5.0 Cup
[R, M, M, C, C, H, M] 3/8/2001 - 30/8/2001 7.0710678118654755 Cup
[R, R, M, H, H, M, R] 21/8/2002 - 18/9/2002 8.660254037844387 Cup
[R, M, H, H, M, M, M] 14/1/2003 - 11/2/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 10/4/2003 - 8/5/2003 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 26/12/2003 - 26/1/2004 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 22/4/2004 - 19/5/2004 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 6/4/2005 - 3/5/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 6/10/2006 - 2/11/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 14/4/2008 - 9/5/2008 8.660254037844387 BearFlag
[M, M, H, H, M, H, M] 10/6/2008 - 8/7/2008 8.660254037844387 BearFlag
[R, M, H, H, M, M, M] 9/7/2008 - 5/8/2008 8.660254037844387 BearFlag
[R, R, H, M, R, M, H] 26/2/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
