Tamanho da Janela:20
[R, R, M, H, H, M, R] 29/3/2000 - 26/4/2000 8.660254037844387 Cup
[R, M, H, M, R, H, H] 25/5/2000 - 22/6/2000 8.660254037844387 DoubleBottom
[M, M, H, H, H, M, M] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[M, M, H, C, C, H, R] 6/7/2001 - 2/8/2001 8.660254037844387 Cup
[M, M, M, H, H, H, M] 5/10/2001 - 1/11/2001 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 27/1/2004 - 24/2/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 17/8/2004 - 14/9/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 18/4/2006 - 15/5/2006 8.660254037844387 Cup
[M, R, R, R, R, M, H] 1/5/2007 - 29/5/2007 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 16/11/2007 - 14/12/2007 8.660254037844387 Cup
[M, H, H, H, M, H, H] 16/1/2008 - 13/2/2008 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 28/9/2010 - 25/10/2010 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 21/1/2011 - 17/2/2011 8.660254037844387 BearFlag
[M, M, H, M, M, H, H] 29/5/2012 - 25/6/2012 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 4/10/2013 - 31/10/2013 8.660254037844387 BearFlag
