Tamanho da Janela:40
[R, M, H, C, H, H, M] 17/10/2000 - 12/12/2000 7.0710678118654755 BearFlag
[R, M, H, C, C, H, R] 7/6/2001 - 2/8/2001 7.0710678118654755 Cup
[R, M, H, C, H, H, M] 31/1/2002 - 28/3/2002 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 22/4/2004 - 18/6/2004 8.660254037844387 BearFlag
[R, M, M, H, H, C, H] 6/4/2005 - 1/6/2005 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 2/6/2005 - 28/7/2005 8.660254037844387 BearFlag
[M, M, H, H, H, H, M] 26/9/2005 - 18/11/2005 7.0710678118654755 BearFlag
[R, M, M, H, H, H, M] 5/3/2007 - 30/4/2007 7.0710678118654755 BearFlag
[W, R, H, M, R, M, H] 10/6/2008 - 5/8/2008 7.0710678118654755 DoubleBottom
[R, R, M, H, H, H, M] 6/8/2008 - 1/10/2008 8.660254037844387 Cup
[R, R, M, H, H, H, M] 11/11/2009 - 8/1/2010 8.660254037844387 Cup
[R, M, H, C, H, H, M] 11/1/2010 - 9/3/2010 7.0710678118654755 BearFlag
[M, H, H, H, M, H, H] 26/10/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 22/12/2010 - 17/2/2011 8.660254037844387 BearFlag
[M, M, H, H, H, M, M] 5/12/2011 - 1/2/2012 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 24/6/2014 - 19/8/2014 8.660254037844387 Cup
