Tamanho da Janela:60
[M, H, H, H, M, H, H] 29/10/2003 - 26/1/2004 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 20/7/2004 - 12/10/2004 8.660254037844387 Cup
[R, R, H, C, H, M, R] 4/12/2006 - 2/3/2007 8.660254037844387 Cup
[R, R, M, R, R, M, H] 16/11/2007 - 13/2/2008 8.660254037844387 BullFlag
[W, M, C, H, R, H, C] 30/10/2008 - 27/1/2009 8.660254037844387 DoubleBottom
[R, H, H, C, H, C, H] 28/9/2010 - 21/12/2010 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 22/12/2010 - 18/3/2011 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 5/12/2011 - 1/3/2012 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 15/2/2013 - 13/5/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 14/5/2013 - 7/8/2013 8.660254037844387 BearFlag
[R, H, H, H, M, H, H] 8/8/2013 - 31/10/2013 7.0710678118654755 BearFlag
