Tamanho da Janela:20
[R, R, M, H, H, H, M] 24/7/2000 - 18/8/2000 8.660254037844387 Cup
[R, M, M, H, H, H, M] 14/11/2000 - 12/12/2000 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[M, R, R, W, R, H, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 2/11/2001 - 30/11/2001 8.660254037844387 BearFlag
[R, R, H, H, M, H, H] 31/1/2002 - 28/2/2002 7.0710678118654755 BearFlag
[M, R, R, R, M, H, H] 24/7/2002 - 20/8/2002 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 26/11/2003 - 24/12/2003 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 4/1/2012 - 1/2/2012 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, M, H, H, M, H, H] 30/1/2014 - 27/2/2014 7.0710678118654755 BearFlag
