Tamanho da Janela:20
[M, M, H, H, H, M, M] 12/2/2001 - 12/3/2001 8.660254037844387 BearFlag
[R, M, M, H, H, M, M] 3/8/2001 - 30/8/2001 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 31/8/2001 - 4/10/2001 8.660254037844387 BullFlag
[M, M, H, M, M, H, H] 3/12/2001 - 31/12/2001 8.660254037844387 BearFlag
[R, R, M, R, R, H, H] 31/1/2002 - 28/2/2002 7.0710678118654755 BullFlag
[M, M, M, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 26/7/2007 - 22/8/2007 8.660254037844387 BullFlag
[R, M, H, H, M, M, H] 16/1/2008 - 13/2/2008 7.0710678118654755 BearFlag
[R, M, H, H, H, M, M] 28/11/2008 - 26/12/2008 7.0710678118654755 BearFlag
[R, R, H, H, H, H, M] 26/2/2009 - 25/3/2009 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 5/12/2011 - 3/1/2012 8.660254037844387 BearFlag
