Tamanho da Janela:20
[R, R, M, R, R, M, H] 1/2/2000 - 29/2/2000 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 12/1/2001 - 9/2/2001 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/4/2001 - 8/5/2001 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 19/9/2002 - 16/10/2002 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 17/2/2006 - 17/3/2006 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 10/8/2006 - 7/9/2006 8.660254037844387 BearFlag
[M, R, M, H, H, H, R] 16/11/2007 - 14/12/2007 8.660254037844387 Cup
[R, R, H, R, R, H, C] 30/10/2008 - 26/11/2008 7.0710678118654755 DoubleBottom
[R, M, H, M, R, H, C] 26/3/2009 - 23/4/2009 7.0710678118654755 DoubleBottom
[R, R, R, R, M, H, H] 16/9/2009 - 13/10/2009 7.0710678118654755 BullFlag
[M, R, R, R, M, H, H] 14/10/2009 - 10/11/2009 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 11/11/2009 - 9/12/2009 8.660254037844387 BearFlag
[R, R, M, H, H, H, M] 18/2/2011 - 18/3/2011 8.660254037844387 Cup
[M, M, H, H, H, M, M] 22/8/2012 - 19/9/2012 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 28/3/2014 - 25/4/2014 8.660254037844387 BullFlag
