Tamanho da Janela:20
[M, M, M, H, H, H, M] 20/11/2002 - 18/12/2002 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 2/2/2004 - 1/3/2004 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 23/8/2004 - 20/9/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, H] 10/5/2005 - 7/6/2005 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 7/7/2005 - 3/8/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 9/3/2007 - 5/4/2007 8.660254037844387 BearFlag
[M, M, M, H, M, H, H] 7/5/2007 - 4/6/2007 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 23/1/2008 - 20/2/2008 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 18/4/2008 - 15/5/2008 8.660254037844387 BearFlag
[R, M, H, H, M, M, H] 20/10/2009 - 16/11/2009 7.0710678118654755 BearFlag
[R, M, H, M, M, M, H] 17/11/2009 - 15/12/2009 8.660254037844387 BearFlag
[R, R, H, M, M, H, H] 15/1/2010 - 12/2/2010 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 16/3/2010 - 13/4/2010 8.660254037844387 Cup
[R, R, M, R, R, M, H] 15/9/2011 - 12/10/2011 8.660254037844387 BullFlag
[R, R, M, H, H, M, R] 9/12/2011 - 9/1/2012 8.660254037844387 Cup
[R, M, M, M, M, H, H] 10/1/2012 - 7/2/2012 8.660254037844387 BearFlag
[R, M, H, M, R, H, H] 4/6/2012 - 29/6/2012 8.660254037844387 DoubleBottom
[R, R, H, M, M, H, H] 18/6/2013 - 16/7/2013 8.660254037844387 DoubleBottom
[M, H, H, H, M, H, H] 14/8/2013 - 11/9/2013 8.660254037844387 BearFlag
[M, R, R, R, R, M, H] 24/9/2014 - 21/10/2014 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 19/11/2014 - 17/12/2014 8.660254037844387 BullFlag
