Tamanho da Janela:60
[W, R, H, C, C, H, R] 3/1/2000 - 28/3/2000 7.0710678118654755 Cup
[R, M, H, M, R, M, C] 13/3/2001 - 6/6/2001 8.660254037844387 DoubleBottom
[R, R, M, H, H, H, M] 3/12/2001 - 28/2/2002 8.660254037844387 Cup
[M, H, H, H, M, H, H] 29/10/2003 - 26/1/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 20/7/2004 - 12/10/2004 8.660254037844387 BearFlag
[R, M, H, H, H, H, M] 13/10/2004 - 6/1/2005 5.0 BearFlag
[M, R, R, H, C, H, R] 26/9/2005 - 19/12/2005 8.660254037844387 Cup
[M, M, M, H, H, H, M] 5/3/2007 - 29/5/2007 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 30/5/2007 - 22/8/2007 8.660254037844387 BullFlag
[R, M, H, H, H, M, M] 14/10/2009 - 8/1/2010 7.0710678118654755 BearFlag
[R, R, M, H, H, H, M] 11/1/2010 - 7/4/2010 8.660254037844387 Cup
[M, M, H, H, H, H, M] 29/5/2012 - 21/8/2012 7.0710678118654755 BearFlag
