Tamanho da Janela:20
[R, M, H, M, R, H, H] 24/7/2000 - 18/8/2000 8.660254037844387 DoubleBottom
[W, W, M, C, C, H, R] 14/11/2000 - 12/12/2000 7.0710678118654755 Cup
[R, R, M, H, H, M, R] 1/4/2002 - 26/4/2002 8.660254037844387 Cup
[R, R, M, M, H, H, H] 9/6/2003 - 7/7/2003 8.660254037844387 BearFlag
[M, H, H, H, M, H, H] 5/8/2003 - 2/9/2003 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 26/11/2003 - 24/12/2003 8.660254037844387 BullFlag
[M, M, M, H, H, H, M] 7/1/2005 - 4/2/2005 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/5/2005 - 1/6/2005 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 26/9/2005 - 21/10/2005 8.660254037844387 BullFlag
[M, H, H, H, H, H, M] 2/4/2007 - 30/4/2007 8.660254037844387 BearFlag
[R, R, M, R, R, M, H] 30/10/2008 - 26/11/2008 8.660254037844387 BullFlag
[R, M, H, M, R, H, H] 26/2/2009 - 25/3/2009 8.660254037844387 DoubleBottom
[R, R, M, H, H, M, R] 26/3/2009 - 23/4/2009 8.660254037844387 Cup
[M, M, M, H, H, H, M] 4/1/2012 - 1/2/2012 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 30/1/2014 - 27/2/2014 8.660254037844387 BearFlag
