Tamanho da Janela:20
[R, R, M, R, R, M, H] 6/7/2001 - 2/8/2001 8.660254037844387 BullFlag
[M, H, H, H, M, H, H] 3/12/2001 - 31/12/2001 8.660254037844387 BearFlag
[R, M, H, C, H, H, M] 2/1/2002 - 30/1/2002 7.0710678118654755 BearFlag
[R, R, R, R, R, M, H] 31/1/2002 - 28/2/2002 7.0710678118654755 BullFlag
[R, R, M, H, H, H, M] 28/5/2002 - 24/6/2002 8.660254037844387 Cup
[M, M, M, H, H, H, M] 20/5/2004 - 18/6/2004 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 13/10/2004 - 9/11/2004 8.660254037844387 BearFlag
[M, R, R, R, M, H, H] 22/6/2009 - 20/7/2009 8.660254037844387 BullFlag
[M, R, R, R, M, H, H] 21/1/2011 - 17/2/2011 8.660254037844387 BullFlag
[R, R, M, H, H, H, M] 4/11/2011 - 2/12/2011 8.660254037844387 Cup
[M, M, M, H, H, H, M] 19/11/2012 - 17/12/2012 8.660254037844387 BearFlag
[R, M, H, H, M, H, M] 18/12/2012 - 16/1/2013 7.0710678118654755 BearFlag
[M, M, M, H, H, H, M] 15/2/2013 - 15/3/2013 8.660254037844387 BearFlag
