Tamanho da Janela:20
[R, R, M, H, H, M, R] 25/7/2001 - 21/8/2001 8.660254037844387 Cup
[M, M, M, H, H, H, M] 22/1/2002 - 19/2/2002 8.660254037844387 BearFlag
[M, H, H, H, H, H, M] 18/4/2002 - 15/5/2002 8.660254037844387 BearFlag
[M, M, M, H, H, H, M] 4/3/2003 - 31/3/2003 8.660254037844387 BearFlag
[R, M, M, H, H, H, M] 15/3/2004 - 12/4/2004 7.0710678118654755 BearFlag
[R, R, M, R, R, M, H] 4/10/2004 - 29/10/2004 8.660254037844387 BullFlag
[R, M, M, H, H, M, M] 10/11/2005 - 8/12/2005 8.660254037844387 BearFlag
[W, R, H, H, R, M, H] 23/9/2008 - 20/10/2008 8.660254037844387 DoubleBottom
[R, M, H, M, R, H, H] 18/11/2008 - 16/12/2008 8.660254037844387 DoubleBottom
[M, R, R, R, M, H, H] 17/2/2009 - 16/3/2009 8.660254037844387 BullFlag
[M, M, H, H, M, H, H] 17/3/2009 - 14/4/2009 7.0710678118654755 BearFlag
